file_name,QuestionText,answer,confidence
EXT Steel works far.wav,Are they listening to the radio?,no,yes
EXT Steel works far.wav,Are they listening to the radio?,no,yes
EXT Steel works far.wav,Are they listening to the radio?,no,yes
EXT Steel works far.wav,is an object being dropped?,yes,yes
EXT Steel works far.wav,is an object being dropped?,yes,yes
EXT Steel works far.wav,is an object being dropped?,yes,yes
EXT Steel works far.wav,Is someone working?,yes,yes
EXT Steel works far.wav,Is someone working?,yes,maybe
EXT Steel works far.wav,Is someone working?,yes,no
EXT Steel works far.wav,is there a forklift present?,yes,yes
EXT Steel works far.wav,is there a forklift present?,no,no
EXT Steel works far.wav,is there a forklift present?,yes,maybe
EXT Steel works far.wav,What is being placed on the platform towards the end of the clip?,board,Maybe
EXT Steel works far.wav,What is being placed on the platform towards the end of the clip?,wood,Yes
EXT Steel works far.wav,What is being placed on the platform towards the end of the clip?,wood,Yes
EXT Steel works far.wav,What type of material is the dropped item made of?,wood,Yes
EXT Steel works far.wav,What type of material is the dropped item made of?,wood,Maybe
EXT Steel works far.wav,What type of material is the dropped item made of?,wood,Maybe
Walking in Circles around fountain.wav,can any animals be heard in the distance?,yes,maybe
Walking in Circles around fountain.wav,can any animals be heard in the distance?,yes,maybe
Walking in Circles around fountain.wav,can any animals be heard in the distance?,yes,maybe
Walking in Circles around fountain.wav,does someone inhale sharply?,yes,maybe
Walking in Circles around fountain.wav,does someone inhale sharply?,no,yes
Walking in Circles around fountain.wav,does someone inhale sharply?,no,yes
Walking in Circles around fountain.wav,Is there a strong wind?,yes,yes
Walking in Circles around fountain.wav,Is there a strong wind?,no,maybe
Walking in Circles around fountain.wav,Is there a strong wind?,yes,yes
Walking in Circles around fountain.wav,Was the recording made outside?,yes,yes
Walking in Circles around fountain.wav,Was the recording made outside?,yes,yes
Walking in Circles around fountain.wav,Was the recording made outside?,yes,yes
Walking in Circles around fountain.wav,what is causing the rasping sound?,person,Maybe
Walking in Circles around fountain.wav,what is causing the rasping sound?,wind,Yes
Walking in Circles around fountain.wav,what is causing the rasping sound?,wind,Yes
Walking in Circles around fountain.wav,What is running nearby?,river,Maybe
Walking in Circles around fountain.wav,What is running nearby?,water,Yes
Walking in Circles around fountain.wav,What is running nearby?,wind,No
20070819.fjord.beach.00.wav,Are there several hawks around?,yes,yes
20070819.fjord.beach.00.wav,Are there several hawks around?,no,yes
20070819.fjord.beach.00.wav,Are there several hawks around?,no,yes
20070819.fjord.beach.00.wav,Does this sound involve motion?,yes,yes
20070819.fjord.beach.00.wav,Does this sound involve motion?,yes,yes
20070819.fjord.beach.00.wav,Does this sound involve motion?,yes,yes
20070819.fjord.beach.00.wav,Does this sound occur indoors?,no,yes
20070819.fjord.beach.00.wav,Does this sound occur indoors?,no,yes
20070819.fjord.beach.00.wav,Does this sound occur indoors?,no,yes
20070819.fjord.beach.00.wav,Is it raining?,yes,maybe
20070819.fjord.beach.00.wav,Is it raining?,yes,yes
20070819.fjord.beach.00.wav,Is it raining?,no,yes
20070819.fjord.beach.00.wav,What is crashing against the beach?,waves,Maybe
20070819.fjord.beach.00.wav,What is crashing against the beach?,waves,Yes
20070819.fjord.beach.00.wav,What is crashing against the beach?,waves,Yes
20070819.fjord.beach.00.wav,What is making the sound that can be heard in this clip?,waves,Yes
20070819.fjord.beach.00.wav,What is making the sound that can be heard in this clip?,rain,Maybe
20070819.fjord.beach.00.wav,What is making the sound that can be heard in this clip?,waves,Yes
west ham bubbles.wav,Is more than one person talking?,yes,yes
west ham bubbles.wav,Is more than one person talking?,yes,maybe
west ham bubbles.wav,Is more than one person talking?,yes,maybe
west ham bubbles.wav,Is music accompanying the song?,no,yes
west ham bubbles.wav,Is music accompanying the song?,no,yes
west ham bubbles.wav,Is music accompanying the song?,no,yes
west ham bubbles.wav,Is one person home alone?,no,yes
west ham bubbles.wav,Is one person home alone?,no,yes
west ham bubbles.wav,Is one person home alone?,yes,yes
west ham bubbles.wav,Is this a well-attended event?,yes,yes
west ham bubbles.wav,Is this a well-attended event?,yes,maybe
west ham bubbles.wav,Is this a well-attended event?,yes,yes
west ham bubbles.wav,What is heard briefly towards the end of the song?,prayer,Yes
west ham bubbles.wav,What is heard briefly towards the end of the song?,clapping,Yes
west ham bubbles.wav,What is heard briefly towards the end of the song?,singing,Yes
west ham bubbles.wav,What mood is being portrayed from the mammals?,happy,Yes
west ham bubbles.wav,What mood is being portrayed from the mammals?,excitement,Yes
west ham bubbles.wav,What mood is being portrayed from the mammals?,happy,Yes
sants_train.wav,Are there people talking?,no,yes
sants_train.wav,Are there people talking?,yes,maybe
sants_train.wav,Are there people talking?,yes,maybe
sants_train.wav,How many different sounds can be heard?,three,Maybe
sants_train.wav,How many different sounds can be heard?,two,Maybe
sants_train.wav,How many different sounds can be heard?,five,Maybe
sants_train.wav,Is the noise consistent?,yes,yes
sants_train.wav,Is the noise consistent?,yes,maybe
sants_train.wav,Is the noise consistent?,yes,yes
sants_train.wav,Is the sound melodic?,yes,yes
sants_train.wav,Is the sound melodic?,no,yes
sants_train.wav,Is the sound melodic?,no,yes
sants_train.wav,Is there a muffled sound?,yes,yes
sants_train.wav,Is there a muffled sound?,yes,yes
sants_train.wav,Is there a muffled sound?,yes,maybe
sants_train.wav,What is the noise coming from?,birds,Yes
sants_train.wav,What is the noise coming from?,train,No
sants_train.wav,What is the noise coming from?,factory,Maybe
Rainstorm.wav,Can seagulls be heard?,yes,yes
Rainstorm.wav,Can seagulls be heard?,yes,maybe
Rainstorm.wav,Can seagulls be heard?,yes,yes
Rainstorm.wav,Is the audio device being moved?,yes,maybe
Rainstorm.wav,Is the audio device being moved?,yes,yes
Rainstorm.wav,Is the audio device being moved?,yes,yes
Rainstorm.wav,Is this a sound typically made by animal vocalization?,no,yes
Rainstorm.wav,Is this a sound typically made by animal vocalization?,no,yes
Rainstorm.wav,Is this a sound typically made by animal vocalization?,no,yes
Rainstorm.wav,Is this something that can usually be heard in the desert?,no,no
Rainstorm.wav,Is this something that can usually be heard in the desert?,no,yes
Rainstorm.wav,Is this something that can usually be heard in the desert?,yes,yes
Rainstorm.wav,What is causing the blowing sound?,wind,Yes
Rainstorm.wav,What is causing the blowing sound?,rain,Yes
Rainstorm.wav,What is causing the blowing sound?,wind,Yes
Rainstorm.wav,What natural element can be heard besides waves?,trees,Yes
Rainstorm.wav,What natural element can be heard besides waves?,wind,Yes
Rainstorm.wav,What natural element can be heard besides waves?,rain,Yes
31 hn_door4.wav,Are the sounds consistent and all coming from the same source?,yes,yes
31 hn_door4.wav,Are the sounds consistent and all coming from the same source?,no,maybe
31 hn_door4.wav,Are the sounds consistent and all coming from the same source?,no,yes
31 hn_door4.wav,Can bouncing be heard?,no,yes
31 hn_door4.wav,Can bouncing be heard?,no,yes
31 hn_door4.wav,Can bouncing be heard?,yes,yes
31 hn_door4.wav,How many separate creaking noises were made?,five,Maybe
31 hn_door4.wav,How many separate creaking noises were made?,three,Yes
31 hn_door4.wav,How many separate creaking noises were made?,five,Maybe
31 hn_door4.wav,Is someone knocking on a door?,no,maybe
31 hn_door4.wav,Is someone knocking on a door?,no,maybe
31 hn_door4.wav,Is someone knocking on a door?,yes,yes
31 hn_door4.wav,Is someone opening and closing a door?,yes,yes
31 hn_door4.wav,Is someone opening and closing a door?,yes,yes
31 hn_door4.wav,Is someone opening and closing a door?,yes,yes
31 hn_door4.wav,What is making the creaking noise?,door,Yes
31 hn_door4.wav,What is making the creaking noise?,door,Yes
31 hn_door4.wav,What is making the creaking noise?,window,Yes
jf Ingenioius Experiment.wav,Are there lots of little pieces?,yes,maybe
jf Ingenioius Experiment.wav,Are there lots of little pieces?,yes,yes
jf Ingenioius Experiment.wav,Are there lots of little pieces?,yes,maybe
jf Ingenioius Experiment.wav,Is someone making a mess?,no,yes
jf Ingenioius Experiment.wav,Is someone making a mess?,yes,maybe
jf Ingenioius Experiment.wav,Is someone making a mess?,no,yes
jf Ingenioius Experiment.wav,Is someone sweeping?,yes,maybe
jf Ingenioius Experiment.wav,Is someone sweeping?,yes,maybe
jf Ingenioius Experiment.wav,Is someone sweeping?,yes,maybe
jf Ingenioius Experiment.wav,Is someone yelling?,no,no
jf Ingenioius Experiment.wav,Is someone yelling?,yes,yes
jf Ingenioius Experiment.wav,Is someone yelling?,yes,maybe
jf Ingenioius Experiment.wav,What is the name of the object being used to complete the action that is heard?,glass,Maybe
jf Ingenioius Experiment.wav,What is the name of the object being used to complete the action that is heard?,glass,No
jf Ingenioius Experiment.wav,What is the name of the object being used to complete the action that is heard?,glass,Yes
jf Ingenioius Experiment.wav,Which part of the room is being affected by the activity taking place?,floor,Yes
jf Ingenioius Experiment.wav,Which part of the room is being affected by the activity taking place?,floor,Yes
jf Ingenioius Experiment.wav,Which part of the room is being affected by the activity taking place?,floor,Maybe
SamyeLing_Drain121102.wav,Are people talking?,no,yes
SamyeLing_Drain121102.wav,Are people talking?,no,no
SamyeLing_Drain121102.wav,Are people talking?,no,yes
SamyeLing_Drain121102.wav,Can liquid dripping be heard?,yes,yes
SamyeLing_Drain121102.wav,Can liquid dripping be heard?,yes,yes
SamyeLing_Drain121102.wav,Can liquid dripping be heard?,yes,yes
SamyeLing_Drain121102.wav,Can thunder be heard?,no,yes
SamyeLing_Drain121102.wav,Can thunder be heard?,no,yes
SamyeLing_Drain121102.wav,Can thunder be heard?,no,maybe
SamyeLing_Drain121102.wav,Is there any liquid around?,yes,yes
SamyeLing_Drain121102.wav,Is there any liquid around?,yes,yes
SamyeLing_Drain121102.wav,Is there any liquid around?,yes,yes
SamyeLing_Drain121102.wav,What is falling?,water,Yes
SamyeLing_Drain121102.wav,What is falling?,water,Yes
SamyeLing_Drain121102.wav,What is falling?,water,Yes
SamyeLing_Drain121102.wav,What is making the most noise?,water,Yes
SamyeLing_Drain121102.wav,What is making the most noise?,water,Maybe
SamyeLing_Drain121102.wav,What is making the most noise?,water,Yes
DC Metro - Interior 1.wav,Can a pig be heard in the background?,no,maybe
DC Metro - Interior 1.wav,Can a pig be heard in the background?,yes,maybe
DC Metro - Interior 1.wav,Can a pig be heard in the background?,yes,maybe
DC Metro - Interior 1.wav,Is that a crowd?,no,yes
DC Metro - Interior 1.wav,Is that a crowd?,yes,yes
DC Metro - Interior 1.wav,Is that a crowd?,yes,maybe
DC Metro - Interior 1.wav,Is the object making noise moving quickly?,yes,yes
DC Metro - Interior 1.wav,Is the object making noise moving quickly?,yes,maybe
DC Metro - Interior 1.wav,Is the object making noise moving quickly?,yes,maybe
DC Metro - Interior 1.wav,Is this in nature?,no,maybe
DC Metro - Interior 1.wav,Is this in nature?,yes,yes
DC Metro - Interior 1.wav,Is this in nature?,no,yes
DC Metro - Interior 1.wav,What is making that constant sound?,aeroplane,Maybe
DC Metro - Interior 1.wav,What is making that constant sound?,match,Yes
DC Metro - Interior 1.wav,What is making that constant sound?,train,No
DC Metro - Interior 1.wav,What is moving?,car,Yes
DC Metro - Interior 1.wav,What is moving?,train,Yes
DC Metro - Interior 1.wav,What is moving?,airplane,Yes
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,Are people talking?,no,yes
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,Are people talking?,no,yes
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,Are people talking?,no,yes
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,Are there more than one animal?,yes,yes
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,Are there more than one animal?,no,maybe
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,Are there more than one animal?,yes,yes
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,Does the animal heard here live by water?,yes,yes
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,Does the animal heard here live by water?,yes,maybe
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,Does the animal heard here live by water?,yes,yes
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,Is the wind blowing making a distortion?,yes,maybe
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,Is the wind blowing making a distortion?,yes,yes
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,Is the wind blowing making a distortion?,yes,yes
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,What color are the animals heard here?,unknown,Yes
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,What color are the animals heard here?,white,Yes
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,What color are the animals heard here?,unknown,Yes
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,What kind of animal is this?,chicken,Maybe
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,What kind of animal is this?,duck,Yes
Geese1 - (Apollonia&#39;s sPA) 18.44 05.10.wav,What kind of animal is this?,rooster,Yes
Teddington weir.wav,Are there any authorities nearby?,yes,yes
Teddington weir.wav,Are there any authorities nearby?,no,maybe
Teddington weir.wav,Are there any authorities nearby?,yes,yes
Teddington weir.wav,Are there any voices present?,yes,yes
Teddington weir.wav,Are there any voices present?,no,yes
Teddington weir.wav,Are there any voices present?,yes,maybe
Teddington weir.wav,Is there a vehicle in motion?,yes,maybe
Teddington weir.wav,Is there a vehicle in motion?,no,yes
Teddington weir.wav,Is there a vehicle in motion?,yes,yes
Teddington weir.wav,Is this taking place in outer space?,no,yes
Teddington weir.wav,Is this taking place in outer space?,yes,yes
Teddington weir.wav,Is this taking place in outer space?,yes,maybe
Teddington weir.wav,The lengthy high-pitched noise in the background is known as a what?,squawking,Maybe
Teddington weir.wav,The lengthy high-pitched noise in the background is known as a what?,siren,Yes
Teddington weir.wav,The lengthy high-pitched noise in the background is known as a what?,six,Yes
Teddington weir.wav,What animal is barking?,dog,Yes
Teddington weir.wav,What animal is barking?,hen,Yes
Teddington weir.wav,What animal is barking?,geese,Maybe
Train Horn.wav,Are there people fighting each other ?,no,yes
Train Horn.wav,Are there people fighting each other ?,no,no
Train Horn.wav,Are there people fighting each other ?,no,yes
Train Horn.wav,Is the sound coming from a vehicle?,no,maybe
Train Horn.wav,Is the sound coming from a vehicle?,no,yes
Train Horn.wav,Is the sound coming from a vehicle?,no,maybe
Train Horn.wav,Is there a train going in the background ?,yes,yes
Train Horn.wav,Is there a train going in the background ?,yes,maybe
Train Horn.wav,Is there a train going in the background ?,yes,yes
Train Horn.wav,Is this a sound one would expect to hear at a shopping mall?,no,yes
Train Horn.wav,Is this a sound one would expect to hear at a shopping mall?,no,yes
Train Horn.wav,Is this a sound one would expect to hear at a shopping mall?,no,yes
Train Horn.wav,What sound can be heard in the first half of the clip?,train,Yes
Train Horn.wav,What sound can be heard in the first half of the clip?,horn,Yes
Train Horn.wav,What sound can be heard in the first half of the clip?,horn,Yes
Train Horn.wav,What type of train is this ?,fast,Maybe
Train Horn.wav,What type of train is this ?,fast,Yes
Train Horn.wav,What type of train is this ?,freight,Maybe
kettle-watergong4.wav,How many times is the object struck?,nineteen,Yes
kettle-watergong4.wav,How many times is the object struck?,eleven,No
kettle-watergong4.wav,How many times is the object struck?,twenty,Yes
kettle-watergong4.wav,Is something hitting metal?,yes,yes
kettle-watergong4.wav,Is something hitting metal?,yes,yes
kettle-watergong4.wav,Is something hitting metal?,yes,yes
kettle-watergong4.wav,Is the object struck multiple times ?,yes,maybe
kettle-watergong4.wav,Is the object struck multiple times ?,yes,yes
kettle-watergong4.wav,Is the object struck multiple times ?,yes,yes
kettle-watergong4.wav,Is there sound of thunder?,yes,maybe
kettle-watergong4.wav,Is there sound of thunder?,no,yes
kettle-watergong4.wav,Is there sound of thunder?,yes,yes
kettle-watergong4.wav,Is this a musical instrument?,yes,yes
kettle-watergong4.wav,Is this a musical instrument?,no,yes
kettle-watergong4.wav,Is this a musical instrument?,yes,yes
kettle-watergong4.wav,What is the object being struck?,drum,Yes
kettle-watergong4.wav,What is the object being struck?,drum,Yes
kettle-watergong4.wav,What is the object being struck?,metal,Maybe
open and close umbrella.wav,Does the sound pause?,yes,maybe
open and close umbrella.wav,Does the sound pause?,yes,yes
open and close umbrella.wav,Does the sound pause?,yes,yes
open and close umbrella.wav,How many times is the repetitive noise made?,four,Yes
open and close umbrella.wav,How many times is the repetitive noise made?,three,Yes
open and close umbrella.wav,How many times is the repetitive noise made?,six,Yes
open and close umbrella.wav,Is a person speaking to themselves?,no,yes
open and close umbrella.wav,Is a person speaking to themselves?,no,yes
open and close umbrella.wav,Is a person speaking to themselves?,no,yes
open and close umbrella.wav,Is the sound being created by a person handling a object?,yes,yes
open and close umbrella.wav,Is the sound being created by a person handling a object?,yes,yes
open and close umbrella.wav,Is the sound being created by a person handling a object?,yes,yes
open and close umbrella.wav,Is the sound only made once?,no,yes
open and close umbrella.wav,Is the sound only made once?,yes,maybe
open and close umbrella.wav,Is the sound only made once?,no,yes
open and close umbrella.wav,What object is making the sounds?,stapler,Maybe
open and close umbrella.wav,What object is making the sounds?,stapler,Maybe
open and close umbrella.wav,What object is making the sounds?,stapler,Maybe
SR001F.wav,are the people conversing indoors?,no,maybe
SR001F.wav,are the people conversing indoors?,yes,yes
SR001F.wav,are the people conversing indoors?,yes,yes
SR001F.wav,Are there animals barking?,no,yes
SR001F.wav,Are there animals barking?,no,yes
SR001F.wav,Are there animals barking?,no,yes
SR001F.wav,can anyone be heard running?,no,yes
SR001F.wav,can anyone be heard running?,no,yes
SR001F.wav,can anyone be heard running?,no,yes
SR001F.wav,how many people are talking?,three,Maybe
SR001F.wav,how many people are talking?,two,Maybe
SR001F.wav,how many people are talking?,three,Yes
SR001F.wav,Is there a creaking noise?,no,maybe
SR001F.wav,Is there a creaking noise?,yes,yes
SR001F.wav,Is there a creaking noise?,yes,yes
SR001F.wav,Who is talking to each other?,people,No
SR001F.wav,Who is talking to each other?,people,Yes
SR001F.wav,Who is talking to each other?,men,Yes
SYnth_NoisesAV.wav,Does it get louder at the end?,no,yes
SYnth_NoisesAV.wav,Does it get louder at the end?,yes,yes
SYnth_NoisesAV.wav,Does it get louder at the end?,no,yes
SYnth_NoisesAV.wav,Does the sound change pitch?,yes,yes
SYnth_NoisesAV.wav,Does the sound change pitch?,yes,yes
SYnth_NoisesAV.wav,Does the sound change pitch?,yes,maybe
SYnth_NoisesAV.wav,Does the sound ever stop in the middle?,no,yes
SYnth_NoisesAV.wav,Does the sound ever stop in the middle?,no,yes
SYnth_NoisesAV.wav,Does the sound ever stop in the middle?,no,yes
SYnth_NoisesAV.wav,How many objects are making noise?,three,Maybe
SYnth_NoisesAV.wav,How many objects are making noise?,one,Yes
SYnth_NoisesAV.wav,How many objects are making noise?,one,Yes
SYnth_NoisesAV.wav,Is the noise mechanical?,yes,yes
SYnth_NoisesAV.wav,Is the noise mechanical?,yes,maybe
SYnth_NoisesAV.wav,Is the noise mechanical?,yes,maybe
SYnth_NoisesAV.wav,What is making the noise?,synthesizer,Maybe
SYnth_NoisesAV.wav,What is making the noise?,synthesizer,Yes
SYnth_NoisesAV.wav,What is making the noise?,synthesizer,Maybe
San Francisco Traffic at Powell And O&#39;Farrell.wav,Are the people's voices growing louder over time?,no,yes
San Francisco Traffic at Powell And O&#39;Farrell.wav,Are the people's voices growing louder over time?,no,yes
San Francisco Traffic at Powell And O&#39;Farrell.wav,Are the people's voices growing louder over time?,yes,maybe
San Francisco Traffic at Powell And O&#39;Farrell.wav,Are there stray cats crying?,no,yes
San Francisco Traffic at Powell And O&#39;Farrell.wav,Are there stray cats crying?,no,yes
San Francisco Traffic at Powell And O&#39;Farrell.wav,Are there stray cats crying?,no,yes
San Francisco Traffic at Powell And O&#39;Farrell.wav,Does a motorcycle start up?,no,maybe
San Francisco Traffic at Powell And O&#39;Farrell.wav,Does a motorcycle start up?,yes,yes
San Francisco Traffic at Powell And O&#39;Farrell.wav,Does a motorcycle start up?,yes,yes
San Francisco Traffic at Powell And O&#39;Farrell.wav,How many people are chatting in the background?,three,Maybe
San Francisco Traffic at Powell And O&#39;Farrell.wav,How many people are chatting in the background?,two,Maybe
San Francisco Traffic at Powell And O&#39;Farrell.wav,How many people are chatting in the background?,two,No
San Francisco Traffic at Powell And O&#39;Farrell.wav,Is a metal object clanging nearby?,yes,yes
San Francisco Traffic at Powell And O&#39;Farrell.wav,Is a metal object clanging nearby?,yes,yes
San Francisco Traffic at Powell And O&#39;Farrell.wav,Is a metal object clanging nearby?,yes,yes
San Francisco Traffic at Powell And O&#39;Farrell.wav,What type of vehicle is driving by?,motorcycle,Maybe
San Francisco Traffic at Powell And O&#39;Farrell.wav,What type of vehicle is driving by?,motorcycle,Maybe
San Francisco Traffic at Powell And O&#39;Farrell.wav,What type of vehicle is driving by?,car,Maybe
April_2004_garden_birds01.wav,Are multiple bird species heard?,yes,yes
April_2004_garden_birds01.wav,Are multiple bird species heard?,yes,yes
April_2004_garden_birds01.wav,Are multiple bird species heard?,yes,maybe
April_2004_garden_birds01.wav,Is the bird dead?,yes,maybe
April_2004_garden_birds01.wav,Is the bird dead?,no,yes
April_2004_garden_birds01.wav,Is the bird dead?,yes,yes
April_2004_garden_birds01.wav,Is there a bird chirping?,yes,yes
April_2004_garden_birds01.wav,Is there a bird chirping?,yes,yes
April_2004_garden_birds01.wav,Is there a bird chirping?,yes,yes
April_2004_garden_birds01.wav,Is there a bird here?,yes,maybe
April_2004_garden_birds01.wav,Is there a bird here?,yes,yes
April_2004_garden_birds01.wav,Is there a bird here?,yes,yes
April_2004_garden_birds01.wav,What can be faintly heard thoroughly besides the chirping?,traffic,Maybe
April_2004_garden_birds01.wav,What can be faintly heard thoroughly besides the chirping?,bird,Maybe
April_2004_garden_birds01.wav,What can be faintly heard thoroughly besides the chirping?,motorcycle,No
April_2004_garden_birds01.wav,What is the bird doing?,chirping,Yes
April_2004_garden_birds01.wav,What is the bird doing?,chirping,Yes
April_2004_garden_birds01.wav,What is the bird doing?,chirping,Maybe
bamboo_wind_chimes_1.wav,Are different sounds being produced by the instrument?,yes,yes
bamboo_wind_chimes_1.wav,Are different sounds being produced by the instrument?,yes,yes
bamboo_wind_chimes_1.wav,Are different sounds being produced by the instrument?,yes,maybe
bamboo_wind_chimes_1.wav,Does a car blow it's horn?,yes,maybe
bamboo_wind_chimes_1.wav,Does a car blow it's horn?,no,yes
bamboo_wind_chimes_1.wav,Does a car blow it's horn?,no,yes
bamboo_wind_chimes_1.wav,Is an instrument being manually struck?,yes,yes
bamboo_wind_chimes_1.wav,Is an instrument being manually struck?,yes,maybe
bamboo_wind_chimes_1.wav,Is an instrument being manually struck?,yes,maybe
bamboo_wind_chimes_1.wav,Is the rhythm of the instrument being struck constant?,no,yes
bamboo_wind_chimes_1.wav,Is the rhythm of the instrument being struck constant?,yes,maybe
bamboo_wind_chimes_1.wav,Is the rhythm of the instrument being struck constant?,yes,no
bamboo_wind_chimes_1.wav,What class of instrument is this?,drum,Yes
bamboo_wind_chimes_1.wav,What class of instrument is this?,drum,Maybe
bamboo_wind_chimes_1.wav,What class of instrument is this?,music,Yes
bamboo_wind_chimes_1.wav,Which instance of the instrument being struck is the softest?,guitar,Yes
bamboo_wind_chimes_1.wav,Which instance of the instrument being struck is the softest?,stick,Maybe
bamboo_wind_chimes_1.wav,Which instance of the instrument being struck is the softest?,bell,Yes
Cat and Rain.wav,Are people talking?,no,yes
Cat and Rain.wav,Are people talking?,yes,maybe
Cat and Rain.wav,Are people talking?,no,yes
Cat and Rain.wav,Can water be heard?,yes,yes
Cat and Rain.wav,Can water be heard?,yes,yes
Cat and Rain.wav,Can water be heard?,yes,yes
Cat and Rain.wav,Is the area dry?,no,yes
Cat and Rain.wav,Is the area dry?,no,yes
Cat and Rain.wav,Is the area dry?,yes,maybe
Cat and Rain.wav,Is there an animal around?,yes,yes
Cat and Rain.wav,Is there an animal around?,yes,yes
Cat and Rain.wav,Is there an animal around?,yes,yes
Cat and Rain.wav,What animal is making noise?,cat,Yes
Cat and Rain.wav,What animal is making noise?,cat,Yes
Cat and Rain.wav,What animal is making noise?,cat,Yes
Cat and Rain.wav,What kind of animal is nearby?,cat,Yes
Cat and Rain.wav,What kind of animal is nearby?,cat,Yes
Cat and Rain.wav,What kind of animal is nearby?,cat,Yes
md4trk7.wav,does the noise ever stop?,no,yes
md4trk7.wav,does the noise ever stop?,no,yes
md4trk7.wav,does the noise ever stop?,yes,yes
md4trk7.wav,does the sound get lower and higher at some points?,yes,yes
md4trk7.wav,does the sound get lower and higher at some points?,yes,yes
md4trk7.wav,does the sound get lower and higher at some points?,yes,yes
md4trk7.wav,how many times does the sound stop and start again?,zero,Maybe
md4trk7.wav,how many times does the sound stop and start again?,none,Maybe
md4trk7.wav,how many times does the sound stop and start again?,zero,Yes
md4trk7.wav,Is the noise repetitive?,yes,yes
md4trk7.wav,Is the noise repetitive?,yes,yes
md4trk7.wav,Is the noise repetitive?,yes,yes
md4trk7.wav,Is the same guitar string being plucked over and over again?,no,yes
md4trk7.wav,Is the same guitar string being plucked over and over again?,no,yes
md4trk7.wav,Is the same guitar string being plucked over and over again?,no,yes
md4trk7.wav,What is causing the squealing noise?,machine,Yes
md4trk7.wav,What is causing the squealing noise?,belt,Yes
md4trk7.wav,What is causing the squealing noise?,motor,Maybe
by a busy road background.wav,Do these machines have wheels?,yes,yes
by a busy road background.wav,Do these machines have wheels?,yes,yes
