,file_name,keywords,sound_link,start_end_samples,manufacturer,license
28,fireTruckFar NL 140109_00.wav,wind;truck;airhorn;holland;distance;fire-siren;traffic;brigades;emerency-servises;firetruck;fire;field-recording;netherland;brigade;highway;fire-engine;far;firefighter;street-noise;siren;speed;ambient;street;windy;fire-truck;horn;ambiance;Dutch,https://freesound.org/people/klankbeeld/sounds/213920,"[159232, 1040518]",klankbeeld,http://creativecommons.org/licenses/by/3.0/
29,CamelTalk.wav,camel;field-recording;morocco;talk;voice,https://freesound.org/people/acclivity/sounds/16932,"[307712, 1235392]",acclivity,http://creativecommons.org/licenses/by-nc/3.0/
30,20150720_boat.engine.wav,diesel;boat;ship;motor;ocean;field-recording;engine,https://freesound.org/people/dobroide/sounds/317429,"[3282944, 4275535]",dobroide,http://creativecommons.org/licenses/by/3.0/
31,Booklet_-_Leaf_through_01_L_Close_R_Distant.wav,leaf;channel;akg;leafing;close;fostex;dual;perspective;distant;paper;unprocessed;through;wav;rode;booklet;mono;pov;sheets;studio;foley;sheet,https://freesound.org/people/othercee/sounds/273337,"[94720, 1371057]",othercee,http://creativecommons.org/publicdomain/zero/1.0/
32,Small growling dog.wav,guttural;grunt;small;animal;miniature;beast;dog;groan;growl;moan,https://freesound.org/people/Jickle/sounds/321179,"[248832, 1409724]",Jickle,http://creativecommons.org/licenses/by/3.0/
33,20091225.garage.door.wav,motor;door;field-recording;garage;rain,https://freesound.org/people/dobroide/sounds/86769,,dobroide,http://creativecommons.org/licenses/by/3.0/
34,sink3.wav,bath;drain;faucet;room;sink;water,https://freesound.org/people/Cambra/sounds/102708,,Cambra,http://creativecommons.org/publicdomain/zero/1.0/
35,steaming_water_ambience.wav,kitchen;steam;indoor;ambience;water,https://freesound.org/people/daboy291/sounds/138064,"[3075072, 3980875]",daboy291,http://creativecommons.org/publicdomain/zero/1.0/
36,Watervogels en riet Lichterveldestraat (HiPass).wav,birds;wind;field-recording;reed;nature,https://freesound.org/people/aifoon/sounds/242596,"[2443264, 3696394]",aifoon,http://creativecommons.org/licenses/by/3.0/
37,HarleyDavidson.wav,engine;davidson;field-recording;motorbike;roar;harley,https://freesound.org/people/acclivity/sounds/55245,,acclivity,http://creativecommons.org/licenses/by-nc/3.0/
38,Walking On Snow.wav,Footsteps;snow;ice;Snow;frost;Foley,https://freesound.org/people/rivernile7/sounds/274945,"[15360, 1257728]",rivernile7,http://creativecommons.org/licenses/by/3.0/
39,Morsecode - SOS MAYDAY - 988 Hz Tone.wav,shortwave;mayday;radio;sos;beacon;signal;transmission;morse;distress;code;morsecode,https://freesound.org/people/daytripper/sounds/329436,,daytripper,http://creativecommons.org/licenses/by/3.0/
40,080902_00_machine_generators.wav,engine;generator;machine,https://freesound.org/people/dkustic/sounds/76193,,dkustic,http://creativecommons.org/licenses/by/3.0/
41,"bistro, ambient noise, talking.wav",speaking;footsteps;internal;talking;conversation;medium-size;cacophonous;coffee,https://freesound.org/people/bushi3593/sounds/215984,"[156160, 1467968]",bushi3593,http://creativecommons.org/publicdomain/zero/1.0/
42,Train_slow_on_cl_yard.wav,Classification;yard;train;railway,https://freesound.org/people/YevgVerh/sounds/151099,"[13312, 853551]",YevgVerh,http://creativecommons.org/licenses/by/3.0/
43,Lake Wars_extract.wav,water;underground;lake;frozen;war;resonance;ice,https://freesound.org/people/gelo_papas/sounds/47201,"[5211648, 6157369]",gelo_papas,http://creativecommons.org/licenses/by/3.0/
44,glass d.wav,vibrate;sine;glass,https://freesound.org/people/teenagenerdprostitution/sounds/176999,,teenagenerdprostitution,http://creativecommons.org/licenses/by-nc/3.0/
45,bm_lampshade.wav,bell;ding;lamp-shade,https://freesound.org/people/cmusounddesign/sounds/71958,,cmusounddesign,http://creativecommons.org/licenses/by/3.0/
46,140912-King-Harry-ferry-setting-off.wav,mechanical;chain;field-recording;river;ferry,https://freesound.org/people/drelliott0net/sounds/248183,"[736256, 1562508]",drelliott0net,http://creativecommons.org/licenses/by/3.0/
47,rain_session_thunder2_2006.wav,rain;storm;thunder,https://freesound.org/people/vibe_crc/sounds/48663,"[475136, 1538141]",vibe_crc,http://creativecommons.org/publicdomain/zero/1.0/
48,paper_cut.wav,cut;paper;scissors,https://freesound.org/people/unsetlay/sounds/195303,"[708096, 1748199]",unsetlay,http://creativecommons.org/licenses/by-nc/3.0/
49,Kiddie Train.wav,Griffith-Park;Kiddie-Train;Locomotive;Railway;Train;Children;Field-Recording;Toy;Stereo;Station,https://freesound.org/people/GaryEdstrom/sounds/263094,"[119296, 842870]",GaryEdstrom,http://creativecommons.org/licenses/by/3.0/
50,Mechanical camera sound.wav,wind;cock;camera;shutter;shoot,https://freesound.org/people/Ydiot/sounds/144126,,Ydiot,http://creativecommons.org/publicdomain/zero/1.0/
51,massive murmur in cathedral.wav,praying;field-recording;cathedral;murmur;people;mass;crowd,https://freesound.org/people/Satoration/sounds/54754,,Satoration,http://creativecommons.org/licenses/by/3.0/
52,Wind-sea 03-091007.wav,field-recording;noise;sea;storm;water;waves;weather,https://freesound.org/people/ra_gun/sounds/82270,,ra_gun,http://creativecommons.org/publicdomain/zero/1.0/
53,AutoViolinTest New Blast.wav,Metallic;Howl;Angry;Raw;Roar,https://freesound.org/people/Cyberdine2500/sounds/234471,"[881152, 1577785]",Cyberdine2500,http://creativecommons.org/licenses/by-nc/3.0/
54,md4trk10.wav,bell;cat-toy;jingle,https://freesound.org/people/alienistcog/sounds/123654,,alienistcog,http://creativecommons.org/publicdomain/zero/1.0/
55,Lambs.wav,pastoral;rural;countryside;agricultural;stereo;xy;birds;field-recording;lambs,https://freesound.org/people/Benboncan/sounds/71754,"[1138688, 2185763]",Benboncan,http://creativecommons.org/licenses/by/3.0/
56,Train Station Loudspeakers.wav,voice;Valencia;Trains;human;station;people,https://freesound.org/people/jmontaa/sounds/333606,"[243200, 1131280]",jmontaa,http://creativecommons.org/publicdomain/zero/1.0/
57,ambient text.wav,ambient;clarinet,https://freesound.org/people/insinger/sounds/25388,"[1066496, 1846218]",insinger,http://creativecommons.org/licenses/by-nc/3.0/
58,strange_parrot.wav,bird;cage;field-recording;movement;parrot;wind,https://freesound.org/people/soundbytez/sounds/116228,"[792576, 1919992]",soundbytez,http://creativecommons.org/licenses/by/3.0/
59,Fairground 2 Ghost ride.wav,scream;voice;ambience;mechanic;street;shouts;people;ride;fairground;city;noise;urban,https://freesound.org/people/Owl/sounds/318076,"[102400, 1365926]",Owl,http://creativecommons.org/licenses/by/3.0/
60,magazinedrop.wav,drop;impact;magazine;paper;table;wood,https://freesound.org/people/j1987/sounds/123010,,j1987,http://creativecommons.org/publicdomain/zero/1.0/
61,Greater Spotted Woodpecker.wav,bird;birdsong;london;marshes;nature;urban;walthamstow;wildlife;woodpecker,https://freesound.org/people/deleted_user_1654820/sounds/98825/,"[6656, 825045]",deleted_user_1654820,http://creativecommons.org/licenses/by-nc/3.0/
62,Gurgling.wav,field-recording;gurgle;gurgles;mono;pipe;water,https://freesound.org/people/Benboncan/sounds/105311,"[586752, 1723194]",Benboncan,http://creativecommons.org/licenses/by/3.0/
63,Puzzle Pieces Foley Mvmt Wood Slide Up Down 01.wav,Mvmt;Wood;Slide;Down;Pieces;Up;Puzzle;Foley,https://freesound.org/people/cmorris035/sounds/254343,"[344064, 1338729]",cmorris035,http://creativecommons.org/publicdomain/zero/1.0/
64,GuardDog1.wav,bark;bell;dog;door;doorbell;field-recording;woof,https://freesound.org/people/acclivity/sounds/20285,,acclivity,http://creativecommons.org/licenses/by-nc/3.0/
65,Scottish Beach near Dunbar.wav,flickr;field-recording;oceansurf;scotland;waves,https://freesound.org/people/inchadney/sounds/18894,"[1211392, 2465847]",inchadney,http://creativecommons.org/licenses/by/3.0/
66,PS3F_FOZ_centro_AvJK_Transito_Noite.wav,night;avenue;street;city;traffic,https://freesound.org/people/paisagemsonoraunila/sounds/334059,"[305152, 1023212]",paisagemsonoraunila,http://creativecommons.org/publicdomain/zero/1.0/
67,STE-003_thunder_rain.wav,cars;city;drops;rain;thunder;weather,https://freesound.org/people/dankopp/sounds/98733,"[3405312, 4399523]",dankopp,http://creativecommons.org/licenses/by/3.0/
68,Wisper1.wav,human;voice;whisper,https://freesound.org/people/vumseplutten1709/sounds/213924,"[2392064, 3686018]",vumseplutten1709,http://creativecommons.org/publicdomain/zero/1.0/
69,Metal pipe hitting the ground.wav,bang;crash;ground;hit;metal;pipe;smash,https://freesound.org/people/CGEffex/sounds/93962,,CGEffex,http://creativecommons.org/licenses/by/3.0/
70,005 - Opening a can of soup.wav,out;pan;kitchen;rest;can;soup;scrape;into;opening;pouring;a,https://freesound.org/people/Soundeffects4You/sounds/217350,"[1217536, 2064163]",Soundeffects4You,http://creativecommons.org/publicdomain/zero/1.0/
71,"Hotel automatic skylight open and close, faint sirens nearby.wav",movement;shutters;Mechanical;mechanical-movement;skylight;moving;motion,https://freesound.org/people/dnlburnett/sounds/336341,,dnlburnett,http://creativecommons.org/licenses/by/3.0/
72,Mechanics_Wind_and_Play.wav,cog;Mechanic;Wind;cogwheel;Winding,https://freesound.org/people/Philippsfoleys/sounds/268186,"[603136, 1448532]",Philippsfoleys,http://creativecommons.org/licenses/by/3.0/
73,glas-bubbels-def01.wav,bubbles;glass,https://freesound.org/people/emileb/sounds/96701,,emileb,http://creativecommons.org/licenses/by/3.0/
74,05 hn_PittsPennLincoln.wav,overpass;parkway;pittsburgh;traffic,https://freesound.org/people/cmusounddesign/sounds/71872,"[543744, 1265242]",cmusounddesign,http://creativecommons.org/licenses/by/3.0/
75,Hand Basin Water.wav,Hand;Bathroom;Basin;Wash;Water,https://freesound.org/people/rafael45/sounds/241876,,rafael45,http://creativecommons.org/publicdomain/zero/1.0/
76,before-after remix of 147507__timmy-h123__sword-draw-02-.wav,scrape;unsheathe;metal;blade;sheath;scabbard;unsheath;draw;sword;147507;timmy-h123;shing,https://freesound.org/people/Timbre/sounds/147533,,Timbre,http://creativecommons.org/licenses/by-nc/3.0/
77,Face slap CsG.wav,palm;smack;face;slap;punch;hard;hit,https://freesound.org/people/csaszi/sounds/341723,,csaszi,http://creativecommons.org/publicdomain/zero/1.0/
78,VULCANIZED_SOLE_FOOTSTEPS_MANOLIOM.wav,footsteps;vulcanized-soles;soft-footsteps,https://freesound.org/people/dansotak/sounds/137715,"[57344, 1340200]",dansotak,http://creativecommons.org/publicdomain/zero/1.0/
79,Dawn-with-a-Pheasant.wav,field-recording;birds;pheasant;ambient;bird-song,https://freesound.org/people/LolitaPerdurabo/sounds/188699,"[1713152, 2652737]",LolitaPerdurabo,http://creativecommons.org/licenses/by/3.0/
80,Metal Bend.wav,bending;bend;metal,https://freesound.org/people/pwausc1/sounds/118262,,pwausc1,http://creativecommons.org/publicdomain/zero/1.0/
81,Airplane Overhead.wav,Airplane;Fighter;Ambience;Ambient;Distant;Aircraft;field;recording;Air;Zoom;Flying;H4n;Jet;Force,https://freesound.org/people/mffm/sounds/235957,,mffm,http://creativecommons.org/publicdomain/zero/1.0/
82,CrunchingHinge.wav,crunching;hinge;noisy;recording;field,https://freesound.org/people/KalleHeiman/sounds/30786,,KalleHeiman,http://creativecommons.org/licenses/sampling+/1.0/
83,PassingCars02.wav,birds;purist;cars;field-recording;passing;road;traffic;car,https://freesound.org/people/Pingel/sounds/3183,,Pingel,http://creativecommons.org/publicdomain/zero/1.0/
84,Chime.wav,chimes;bell;wind-chime;chime;ding,https://freesound.org/people/ikonochris/sounds/213380,"[16896, 733606]",ikonochris,http://creativecommons.org/publicdomain/zero/1.0/
85,Soft rain in Berlin with thunder in background.wav,home;rain;weather;thunder,https://freesound.org/people/richists/sounds/353089,"[1859072, 2973128]",richists,http://creativecommons.org/publicdomain/zero/1.0/
86,Ambience - Cattle Barn - Busy - 96kHzhg.wav,barn;cattle;Ambience;ambient;busy;96khz;jarred;field-recording;gibb;farmland,https://freesound.org/people/JarredGibb/sounds/233268,"[1589248, 2325147]",JarredGibb,http://creativecommons.org/publicdomain/zero/1.0/
87,In Car Driving with Open Window.wav,highway;interstate;opened;windows-openend;opened-windows;windows;open;city;car;bumps;road;roadtrip;traffic;trip;way;drive;driving;inside,https://freesound.org/people/RutgerMuller/sounds/50911,"[2082816, 2995721]",RutgerMuller,http://creativecommons.org/publicdomain/zero/1.0/
88,Atmosphere - City Fountain (Loop).wav,children;fresh;video;fountain;atmo;talking;water;atmossphere;movie;summer;people;kids;sprinkle;city;sound,https://freesound.org/people/julius_galla/sounds/195619/,"[283136, 1050762]",julius_galla,http://creativecommons.org/licenses/by/3.0/
89,traffic_light_night.wav,traffic-light;field-recording;traffic;pedestrian;ambience,https://freesound.org/people/thulitt/sounds/274600,"[3788800, 4830954]",thulitt,http://creativecommons.org/publicdomain/zero/1.0/
90,Hwy84Westbound2A.wav,Highway;Fast;Traffic;Speed,https://freesound.org/people/n_audioman/sounds/319277,"[527872, 1712645]",n_audioman,http://creativecommons.org/licenses/by/3.0/
91,granny glissando.wav,wind;granular;noise;stereo;synthesis,https://freesound.org/people/NoiseCollector/sounds/3991,,NoiseCollector,http://creativecommons.org/licenses/by/3.0/
92,Suburban Ambience_1-2.wav,room-tone;birds;suburban;cars;ambience,https://freesound.org/people/lucaslara/sounds/154419,"[0, 1144319]",lucaslara,http://creativecommons.org/publicdomain/zero/1.0/
93,Deltic Diesel Train Departure~Irwell Vale Halt~Bury.wav,railway-station;departing;depart;train-station;passenger-train;platform;audio-technica;halt;locomotive;railway;station;trains;train;departure;rail;diesel;rural;field-recording;railroad,https://freesound.org/people/lwalker101/sounds/325972/,"[1019904, 2076849]",lwalker101,http://creativecommons.org/licenses/by/3.0/
94,Metal_Hit_01.wav,sword-hit;sword;swords;resonance;sustained;ting;clang;metal;ping;ringing;hit;clank;ding,https://freesound.org/people/dheming/sounds/177781,"[1425920, 2705606]",dheming,http://creativecommons.org/licenses/by/3.0/
95,Bobby-Car Hooting.wav,cartoon;plastic;hoot;toot;horn;honk;car;squeek;toy;funny;bobby-car,https://freesound.org/people/HenryG/sounds/339788,"[612864, 1626588]",HenryG,http://creativecommons.org/publicdomain/zero/1.0/
96,Creaking pier.wav,field-recording;pier;wood;creak;water,https://freesound.org/people/morosopher/sounds/191497,"[618496, 1408302]",morosopher,http://creativecommons.org/publicdomain/zero/1.0/
97,lungs.wav,ambient;atmosphere;hum,https://freesound.org/people/MetaKnight11/sounds/68466,"[534016, 1622765]",MetaKnight11,http://creativecommons.org/publicdomain/zero/1.0/
98,turtledove sounds.wav,birdsong;birds;turtledove;bird;nature;field-recording,https://freesound.org/people/csengeri/sounds/351726,"[756736, 1599613]",csengeri,http://creativecommons.org/publicdomain/zero/1.0/
99,in Park.wav,talk;ambient;Lisbon;people;Portugal;city,https://freesound.org/people/martats/sounds/156979,"[4907008, 6118629]",martats,http://creativecommons.org/publicdomain/zero/1.0/
100,LakeSide2.wav,wildlife;gull;field-recording;frogs;birds;nature;outdoor;spring;lake;birdsong,https://freesound.org/people/pcaeldries/sounds/94914,"[1258496, 2237532]",pcaeldries,http://creativecommons.org/licenses/by/3.0/
101,ambient wind.wav,ambient;background;gust;wind,https://freesound.org/people/plamdi1/sounds/95053,,plamdi1,http://creativecommons.org/publicdomain/zero/1.0/
102,Motorcycle 1.wav,engine;harley-davidson;idle;motorcycle,https://freesound.org/people/Jewels/sounds/39856,"[82944, 1309442]",Jewels,http://creativecommons.org/licenses/sampling+/1.0/
103,Wind moderate strong JPN.wav,moderate;storm;tundra;wind;winter,https://freesound.org/people/jpnien/sounds/97396,"[183296, 1292391]",jpnien,http://creativecommons.org/publicdomain/zero/1.0/
104,Elevator goes up.wav,opens;sliding;open;closing;Door;Squeak;close;mechanic;Lift;cabine;Elevator;squeaky;opening;field-recording;door;gate,https://freesound.org/people/edhutschek/sounds/263829,,edhutschek,http://creativecommons.org/publicdomain/zero/1.0/
105,Ambient_Winter.wav,wind;forest;Ambiance,https://freesound.org/people/MHCerberus/sounds/141143,,MHCerberus,http://creativecommons.org/publicdomain/zero/1.0/
106,Anchor Chain.wav,metal;rattle;anchor;foley;stereo;dropping;metallic;anchor-chain;chain,https://freesound.org/people/Benboncan/sounds/61685,"[0, 1245887]",Benboncan,http://creativecommons.org/licenses/by/3.0/
107,Splashing Water in Bathtube_1-2.wav,bathroom;bathtub;splashing;water;wet,https://freesound.org/people/SteveMannella/sounds/86195,,SteveMannella,http://creativecommons.org/licenses/sampling+/1.0/
108,"Cruiseship - inside, crew cabin at night.wav",cabin;soundscape;ambience;cracking;crew;ambiance;indoor;Cruiseship;field-recording;general-noise;noise;atmosphere;engine,https://freesound.org/people/Alcappuccino/sounds/338038,"[724992, 1807605]",Alcappuccino,http://creativecommons.org/publicdomain/zero/1.0/
109,Scribble_long_strokes.wav,drawing;scribble;marker;clipboard;pen;paper;writing;texta;draw;pencil,https://freesound.org/people/waldram/sounds/257517,,waldram,http://creativecommons.org/publicdomain/zero/1.0/
110,Spring Rain 1.wav,Drops;Peaceful;Water;Rain;Thunder;Nature;Downpour;Field-recording;Environment,https://freesound.org/people/InSintesi/sounds/348015,"[10752, 1102074]",InSintesi,http://creativecommons.org/licenses/by/3.0/
111,"Bells of St Alkelda&#39;s Church, Giggleswick, England.wav",bells;church;field-recording;outdoors;ring;ringing,https://freesound.org/people/thaighaudio/sounds/125825,"[1114624, 1979853]",thaighaudio,http://creativecommons.org/publicdomain/zero/1.0/
112,Bird Ambience.wav,ambience;birds;day;spring;suburbs,https://freesound.org/people/lmbubec/sounds/119438,"[241664, 1319753]",lmbubec,http://creativecommons.org/publicdomain/zero/1.0/
113,upstairs.wav,walk;stairs;recording,https://freesound.org/people/aumguy/sounds/161351,,aumguy,http://creativecommons.org/publicdomain/zero/1.0/
114,espresso-maschine.wav,bosch;coffee;machine;noise;espresso,https://freesound.org/people/DrNI/sounds/98017,"[54272, 1073800]",DrNI,http://creativecommons.org/licenses/by-nc/3.0/
115,MVI_4002-B.wav,2300;electric-multiple-unit;portugal;railcar;suburban;train,https://freesound.org/people/talvesmiranda/sounds/118398,,talvesmiranda,http://creativecommons.org/licenses/sampling+/1.0/
116,Elbe near Ovelgoenne.wav,elbe;field-recording;hamburg;river;ship;waves,https://freesound.org/people/inchadney/sounds/75962,"[2567168, 3609684]",inchadney,http://creativecommons.org/licenses/by/3.0/
117,Shower and walk - rear.wav,footsteps;curtain;foot;shoe;steps;step;shower;walk;bathroom;water;footstep;house;floor;door;walking;running;foley,https://freesound.org/people/ACinJC/sounds/327848,"[1177600, 1972791]",ACinJC,http://creativecommons.org/licenses/by-nc/3.0/
118,airport_ambiance_01.wav,background-sound;soundscape;ambience;ambient;background;airport;conversation;muffled;ambiance;atmosphere,https://freesound.org/people/joedeshon/sounds/273468,"[7197184, 7888612]",joedeshon,http://creativecommons.org/publicdomain/zero/1.0/
119,Water_Drops_Falling.wav,Drops;falling;Peaceful;Forest;Splash;Water;Rain;Drop;Nature;Field-recording;Tap,https://freesound.org/people/ivolipa/sounds/337634,,ivolipa,http://creativecommons.org/publicdomain/zero/1.0/
120,Dog Barking .wav,rode;dogs;bark;animal;roland;woof;devices;dog;barks;442;pet;barking;sound,https://freesound.org/people/nick121087/sounds/274471,,nick121087,http://creativecommons.org/publicdomain/zero/1.0/
121,WindInPylons.wav,pylons;wind;field-recording;storm;weather,https://freesound.org/people/acclivity/sounds/324102,"[455680, 1580954]",acclivity,http://creativecommons.org/licenses/by-nc/3.0/
122,nxSample018.wav,children;storm;traffic,https://freesound.org/people/neix/sounds/106350,"[240128, 1203438]",neix,http://creativecommons.org/licenses/by-nc/3.0/
123,water boiler.wav,bubbles;boiling-water;boiling;water;water-boiler;kettle,https://freesound.org/people/hanuman81/sounds/258355,"[5266944, 6058771]",hanuman81,http://creativecommons.org/publicdomain/zero/1.0/
124,je_creakydoor.wav,creak;door;groan,https://freesound.org/people/cmusounddesign/sounds/71900,"[4394496, 5265414]",cmusounddesign,http://creativecommons.org/licenses/by/3.0/
125,20081228.rain.wav,car;city;field-recording;horn;rain,https://freesound.org/people/dobroide/sounds/65472,"[851968, 2109780]",dobroide,http://creativecommons.org/licenses/by/3.0/
126,box.wav,shook;Box-with-pen;grinding;noise;rattle,https://freesound.org/people/duskstep/sounds/158422,,duskstep,http://creativecommons.org/publicdomain/zero/1.0/
127,dryaubergines01.wav,aubergines;close-microphoned;noise;unprocessed;recording,https://freesound.org/people/d.garro/sounds/656,,d.garro,http://creativecommons.org/licenses/by-nc/3.0/
128,12_Ambient_Quarry_High_44_16.wav,ambient;maine;outside;playing;quarry;summer;swimming,https://freesound.org/people/tomtenney/sounds/126575,"[2501120, 3220120]",tomtenney,http://creativecommons.org/licenses/by/3.0/
129,20080416.bunting.wav,birds;corn-bunting;field-recording;nature;scrub;south-spain;spring,https://freesound.org/people/dobroide/sounds/52072,"[348160, 1305443]",dobroide,http://creativecommons.org/licenses/by/3.0/
130,birds_oldmen_cafe.wav,old-men;birds;traffic;noise;truck,https://freesound.org/people/TelenoikaMapping/sounds/176711,"[330240, 1499634]",TelenoikaMapping,http://creativecommons.org/licenses/by/3.0/
131,breakfast ambience.wav,kitchen;meal;alone;couple;food;trio;plate;ambience;fork;eating;crepes;breakfast,https://freesound.org/people/mefrancis13/sounds/117601,"[1572864, 2271191]",mefrancis13,http://creativecommons.org/publicdomain/zero/1.0/
132,"car interior, start and depart.wav",starting;motor;traffic;diesel;car;driving;field-recording;engine,https://freesound.org/people/odilonmarcenaro/sounds/235941,"[1404928, 2392805]",odilonmarcenaro,http://creativecommons.org/licenses/by/3.0/
133,Alexanderplatz talking shouting people.wav,Alexanderplatz;Germany;busy;Berlin;crowded;crowd;field-recording;evening,https://freesound.org/people/LG/sounds/142293,,LG,http://creativecommons.org/licenses/by/3.0/
